CMDLINE C:\Users\ramza\AppData\Local\Programs\Python\Python311\python.exe simulator.py
MEM 1.578125 1670610475.4888
MEM 11.968750 1670610475.5897
MEM 19.578125 1670610475.6899
MEM 25.207031 1670610475.7905
MEM 29.257812 1670610475.8911
MEM 32.050781 1670610475.9915
MEM 35.757812 1670610476.0922
MEM 39.109375 1670610476.1925
MEM 43.550781 1670610476.2928
MEM 45.523438 1670610476.3932
